basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20260901,003120,KR7003120003,일성아이에스,KOSPI,20600,150,.73,20200,20600,20100,7148,144396050,13300000,273980000000
20260901,003160,KR7003160009,디아이,KOSPI,26650,2450,10.12,26000,27700,25500,918402,24714325925,28300000,754195000000
20260901,003200,KR7003200003,일신방직,KOSPI,10840,-70,-.64,10770,10890,10700,18319,197723330,22960000,248886400000
20260901,003220,KR7003220001,대원제약,KOSPI,7970,40,.5,7950,8040,7880,18276,145423820,22427583,178747836510
20260901,003230,KR7003230000,삼양식품,KOSPI,1492000,-39000,-2.55,1532000,1537000,1461000,40748,60952954000,7533015,11239258380000
20260901,003240,KR7003240009,태광산업,KOSPI,953000,21000,2.25,919000,953000,918000,1765,1654653000,1113400,1061070200000
20260901,003280,KR7003280005,흥아해운,KOSPI,1689,-11,-.65,1700,1725,1681,2932549,4985712412,240424899,406077654411
20260901,003300,KR7003300001,한일홀딩스,KOSPI,18720,-200,-1.06,18870,18870,18540,14028,261501500,30831444,577164631680
20260901,003310,KR7003310000,대주산업,KOSDAQ,1675,-29,-1.7,1704,1716,1671,208932,352458220,35392350,59282186250
20260901,003350,KR7003350006,한국화장품제조,KOSPI,13940,-1030,-6.88,14970,15160,13640,895478,12703237575,22660000,315880400000
20260901,003380,KR7003380003,하림지주,KOSDAQ,10660,-150,-1.39,10650,10880,10610,219333,2343946130,112005621,1193979919860
20260901,003460,KR7003460003,유화증권,KOSPI,3095,5,.16,3065,3105,3045,38349,117699069,56702415,175493974425
20260901,003465,KR7003461001,유화증권우,KOSPI,3045,-30,-.98,3285,3285,3030,461,1399965,17476425,53215714125
20260901,003470,KR7003470002,유안타증권,KOSPI,4780,50,1.06,4730,4785,4670,168687,800210830,192680102,921010887560
20260901,003475,KR7003471000,유안타증권우,KOSPI,4340,70,1.64,4275,4370,4235,11445,49259258,12811370,55601345800
20260901,003480,KR7003480001,한진중공업홀딩스,KOSPI,4790,90,1.91,4705,4790,4700,22781,108230390,29529812,141447799480
20260901,003490,KR7003490000,대한항공,KOSPI,28750,650,2.31,27750,28950,27750,2274669,64700042700,368220661,10586344003750
20260901,003495,KR7003491008,대한항공우,KOSPI,21800,50,.23,21750,21850,21400,558,12087650,1110794,24215309200
20260901,003520,KR7003520004,영진약품,KOSPI,1148,15,1.32,1140,1148,1115,251058,284571747,182892731,209960855188
20260901,003530,KR7003530003,한화투자증권,KOSPI,4930,0,0,4935,4960,4795,1026299,4989629379,214547775,1057720530750
20260901,003535,KR7003531001,한화투자증권우,KOSPI,6870,50,.73,6820,6940,6580,29306,197826270,4800000,32976000000
